iter	RMSE
0	9.39724372
1	9.008538879
2	8.647758908
3	8.313752413
4	8.007388704
5	7.722651543
6	7.462908672
7	7.222798087
8	7.004669906
9	6.800420561
10	6.615722576
11	6.440671391
12	6.284868274
13	6.139428938
14	6.00620235
15	5.888893979
16	5.776915317
17	5.676120747
18	5.581934318
19	5.50011225
20	5.42095985
21	5.351725615
22	5.286991722
23	5.229437314
24	5.175866917
25	5.127687719
26	5.082709853
27	5.041601155
28	5.005421531
29	4.968739491
30	4.938382951
31	4.908111619
32	4.883201413
33	4.858495474
34	4.836572056
35	4.815980511
36	4.795612825
37	4.777754472
38	4.761266088
39	4.744995391
40	4.730666432
41	4.715176352
42	4.700895095
43	4.687199772
44	4.676306904
45	4.665607359
46	4.65373679
47	4.644762863
48	4.634446186
49	4.625609592
50	4.617656249
51	4.609129797
52	4.600286658
53	4.592241801
54	4.585677401
55	4.578813658
56	4.572211275
57	4.565257639
58	4.559042233
59	4.55299098
60	4.546551406
61	4.54082541
62	4.53354944
63	4.528398594
64	4.523404392
65	4.518564688
66	4.512549136
67	4.50782046
68	4.503937461
69	4.499453883
70	4.493359528
71	4.489362413
72	4.485559105
73	4.481698444
74	4.477444981
75	4.472440791
76	4.468026334
77	4.46384269
78	4.459620216
79	4.455610976
80	4.450815084
81	4.447239049
82	4.443249559
83	4.439637353
84	4.436304794
85	4.43303736
86	4.430342987
87	4.426586386
88	4.423817108
89	4.420471308
90	4.417663141
91	4.415039989
92	4.41099023
93	4.407703296
94	4.404766931
95	4.401876525
96	4.398585427
97	4.394326632
98	4.391834323
99	4.389253995
100	4.386963769
101	4.383515764
102	4.379669806
103	4.376998013
104	4.374024411
105	4.371872399
106	4.368836004
107	4.365876206
108	4.362723439
109	4.360000018
110	4.357586484
111	4.355241768
112	4.352858248
113	4.349692856
114	4.346694966
115	4.344158293
116	4.341543946
117	4.339279206
118	4.337117515
119	4.334327792
120	4.331443786
121	4.329359387
122	4.326841797
123	4.323592766
124	4.321030981
125	4.31815161
126	4.315156435
127	4.312704572
128	4.310331447
129	4.30846805
130	4.305989193
131	4.302977002
132	4.300858265
133	4.29923315
134	4.297024943
135	4.294633581
136	4.292682408
137	4.290445087
138	4.288101301
139	4.286302802
140	4.284474435
141	4.282868513
142	4.281193078
143	4.279069899
144	4.276808965
145	4.273571969
146	4.271851635
147	4.269587681
148	4.268278348
149	4.265812664
150	4.26371583
151	4.261611104
152	4.258472767
153	4.256716458
154	4.254825696
155	4.252354091
156	4.250475872
157	4.248834036
158	4.247396307
159	4.245732091
160	4.244153167
161	4.242220524
162	4.240899988
163	4.239155097
164	4.237290731
165	4.235355321
166	4.233040696
167	4.230803719
168	4.229088084
169	4.22755204
170	4.22609914
171	4.224238803
172	4.222785784
173	4.220879587
174	4.219802357
175	4.217799519
176	4.216363142
177	4.214288895
178	4.21258103
179	4.210884843
180	4.209519259
181	4.207672522
182	4.205849233
183	4.203939798
184	4.201720235
185	4.200167133
186	4.198817839
187	4.197250599
188	4.195323682
189	4.193768941
190	4.192263235
191	4.190467064
192	4.189015844
193	4.187705264
194	4.186105208
195	4.184626084
196	4.182659135
197	4.181007037
198	4.179134466
199	4.177749212
200	4.175855147
201	4.173992593
202	4.172191079
203	4.170644813
204	4.169543364
205	4.167996133
206	4.166454011
207	4.165534247
208	4.164180195
209	4.162763414
210	4.161774159
211	4.160010505
212	4.15832992
213	4.157088833
214	4.155944345
215	4.154208853
216	4.152645528
217	4.151001069
218	4.14967878
219	4.147852471
220	4.145795846
221	4.144406402
222	4.142826387
223	4.14146786
224	4.139801316
225	4.138358204
226	4.136650973
227	4.134990889
228	4.133601104
229	4.132254897
230	4.131363897
231	4.130105393
232	4.12880538
233	4.127373201
234	4.126050241
235	4.124423809
236	4.122895472
237	4.121769648
238	4.120232429
239	4.119014525
240	4.117952718
241	4.115816762
242	4.114772709
243	4.113598083
244	4.112317907
245	4.110887036
246	4.109684685
247	4.108344089
248	4.106957305
249	4.105610311
250	4.104368004
251	4.103179378
252	4.101819624
253	4.100558283
254	4.099173159
255	4.098117506
256	4.097452691
257	4.096275391
258	4.095193636
259	4.093930438
260	4.092731261
261	4.09181565
262	4.090529876
263	4.089761635
264	4.088812079
265	4.087724981
266	4.086599946
267	4.085835303
268	4.084920436
269	4.083776425
270	4.082512875
271	4.081151571
272	4.079696146
273	4.078455999
274	4.076936288
275	4.075952746
276	4.07479488
277	4.073520935
278	4.072637471
279	4.071634137
280	4.07011692
281	4.06909374
282	4.068009637
283	4.066442263
284	4.065222528
285	4.064120228
286	4.063047694
287	4.061843001
288	4.060830842
289	4.059695924
290	4.059007975
291	4.058155331
292	4.056660524
293	4.055351787
294	4.054235406
295	4.053180449
296	4.052095691
297	4.050737714
298	4.049834778
299	4.048700389
300	4.047660377
301	4.046574222
302	4.045742836
303	4.04489066
304	4.044068333
305	4.042942767
306	4.041433069
307	4.040368917
308	4.039430509
309	4.038436289
310	4.037264004
311	4.036441929
312	4.03558095
313	4.034218149
314	4.033168656
315	4.03174427
316	4.030655643
317	4.029664596
318	4.028859079
319	4.027958463
320	4.02702551
321	4.02586161
322	4.024506571
323	4.023500915
324	4.022741719
325	4.021599371
326	4.020779875
327	4.019674432
328	4.01875018
329	4.017831877
330	4.016957984
331	4.015936013
332	4.015047336
333	4.014064012
334	4.013162656
335	4.012068301
336	4.010923943
337	4.010173069
338	4.009203726
339	4.008013428
340	4.007198807
341	4.00629267
342	4.005384936
343	4.004025286
344	4.003441747
345	4.002560443
346	4.001741568
347	4.000756154
348	3.999938406
349	3.998974798
350	3.998121897
351	3.997578859
352	3.99654757
353	3.995711959
354	3.994840834
355	3.993780235
356	3.99287971
357	3.991937454
358	3.990920301
359	3.989961239
360	3.989067925
361	3.988229919
362	3.987049547
363	3.985969559
364	3.985254569
365	3.984489167
366	3.983751298
367	3.982927033
368	3.982435314
369	3.98140279
370	3.980650028
371	3.979467314
372	3.978677147
373	3.976955778
374	3.975997227
375	3.975343031
376	3.974582361
377	3.973060801
378	3.97231318
379	3.971124098
380	3.970199934
381	3.9693847
382	3.968661662
383	3.967121513
384	3.966282323
385	3.9657401
386	3.964902805
387	3.964154349
388	3.963199579
389	3.96239015
390	3.961592515
391	3.960962535
392	3.95965057
393	3.959008282
394	3.958177029
395	3.957282557
396	3.956403628
