iter	Passed	Remaining
0	154	231787
1	320	240130
2	409	204485
3	498	186339
4	584	174812
5	674	167893
6	758	161682
7	863	161076
8	954	158113
9	1042	155297
10	1129	152865
11	1217	150958
12	1306	149499
13	1398	148485
14	1488	147390
15	1577	146320
16	1662	145067
17	1752	144277
18	1841	143559
19	1934	143153
20	2024	142601
21	2114	142087
22	2202	141419
23	2287	140667
24	2376	140196
25	2461	139560
26	2556	139446
27	2645	139101
28	2744	139223
29	2833	138823
30	2925	138625
31	3020	138567
32	3107	138153
33	3205	138205
34	3288	137666
35	3379	137429
36	3464	136981
37	3546	136429
38	3635	136202
39	3723	135899
40	3812	135667
41	3903	135503
42	3998	135477
43	4084	135171
44	4179	135129
45	4274	135119
46	4358	134743
47	4440	134338
48	4525	134020
49	4613	133802
50	4699	133527
51	4786	133293
52	4869	132949
53	4959	132810
54	5049	132660
55	5145	132686
56	5236	132567
57	5337	132709
58	5442	132932
59	5529	132706
60	5611	132371
61	5707	132376
62	5795	132183
63	5887	132096
64	5989	132223
65	6085	132226
66	6177	132131
67	6266	131968
68	6356	131822
69	6446	131689
70	6535	131548
71	6625	131411
72	6714	131251
73	6813	131288
74	6903	131160
75	6995	131069
76	7086	130966
77	7172	130753
78	7260	130599
79	7352	130499
80	7441	130365
81	7531	130237
82	7617	130048
83	7704	129872
84	7789	129679
85	7877	129515
86	7966	129390
87	8054	129238
88	8140	129052
89	8230	128941
90	8317	128789
91	8408	128689
92	8499	128596
93	8588	128464
94	8680	128372
95	8774	128330
96	8875	128381
97	8967	128295
98	9056	128159
99	9142	127998
100	9233	127895
101	9318	127716
102	9409	127618
103	9497	127484
104	9590	127416
105	9675	127242
106	9767	127165
107	9857	127049
108	9946	126931
109	10042	126903
110	10130	126773
111	10216	126613
112	10306	126508
113	10403	126480
114	10491	126350
115	10578	126218
116	10666	126078
117	10760	126024
118	10859	126026
119	10956	125994
120	11048	125911
121	11134	125765
122	11224	125665
123	11326	125686
124	11415	125566
125	11504	125455
126	11594	125347
127	11691	125323
128	11777	125172
129	11865	125045
130	11950	124891
131	12037	124749
132	12120	124578
133	12205	124421
134	12293	124296
135	12383	124203
136	12473	124098
137	12563	123999
138	12649	123860
139	12733	123694
140	12825	123615
141	12918	123545
142	13006	123423
143	13093	123292
144	13185	123216
145	13274	123103
146	13357	122945
147	13444	122815
148	13533	122710
149	13619	122571
150	13705	122439
151	13792	122321
152	13883	122228
153	13972	122124
154	14057	121978
155	14143	121854
156	14233	121757
157	14323	121657
158	14406	121502
159	14491	121366
160	14581	121273
161	14669	121162
162	14753	121011
163	14838	120880
164	14945	120926
165	15037	120843
166	15120	120693
167	15204	120551
168	15295	120461
169	15381	120335
170	15468	120220
171	15550	120067
172	15635	119932
173	15720	119800
174	15810	119705
175	15901	119621
176	15989	119517
177	16076	119396
178	16169	119331
179	16252	119184
180	16342	119092
181	16429	118975
182	16514	118847
183	16600	118728
184	16687	118614
185	16772	118486
186	16859	118377
187	16948	118281
188	17043	118224
189	17133	118130
190	17218	118006
191	17302	117872
192	17391	117773
193	17479	117668
194	17564	117547
195	17654	117453
196	17739	117330
197	17822	117198
198	17917	117138
199	18001	117008
200	18088	116897
201	18177	116802
202	18267	116710
203	18352	116595
204	18436	116463
205	18521	116345
206	18608	116238
207	18697	116138
208	18787	116048
209	18872	115931
210	18957	115812
211	19048	115727
212	19135	115622
213	19219	115495
214	19308	115404
215	19398	115314
216	19486	115210
217	19570	115087
218	19660	114999
219	19746	114891
220	19832	114777
221	19915	114647
222	20010	114591
223	20104	114523
224	20187	114395
225	20278	114313
226	20376	114271
227	20461	114155
228	20544	114029
229	20642	113980
230	20723	113846
231	20811	113744
232	20897	113633
233	20985	113538
234	21071	113429
235	21163	113349
236	21252	113255
237	21344	113180
238	21434	113091
239	21530	113032
240	21618	112934
241	21707	112840
242	21795	112743
243	21881	112633
244	21964	112513
245	22053	112420
246	22137	112301
247	22226	112208
248	22314	112110
249	22396	111983
250	22483	111878
251	22566	111757
252	22651	111648
253	22735	111527
254	22823	111434
255	22907	111313
256	22994	111213
257	23081	111112
258	23173	111036
259	23258	110923
260	23343	110813
261	23433	110729
262	23514	110596
263	23600	110495
264	23689	110402
265	23773	110285
266	23858	110180
267	23949	110096
268	24038	110006
269	24127	109914
270	24216	109822
271	24303	109723
272	24399	109665
273	24484	109554
274	24575	109470
275	24662	109372
276	24745	109255
277	24829	109141
278	24915	109040
279	25004	108948
280	25095	108868
281	25187	108789
282	25277	108700
283	25367	108616
284	25457	108529
285	25554	108470
286	25645	108391
287	25738	108316
288	25827	108226
289	25915	108129
290	26001	108028
291	26086	107921
292	26175	107827
293	26260	107721
294	26346	107619
295	26434	107524
296	26518	107414
297	26606	107319
298	26695	107226
299	26780	107123
300	26866	107020
301	26954	106925
302	27043	106836
303	27137	106763
304	27226	106675
305	27312	106573
306	27404	106495
307	27496	106415
308	27610	106421
309	27699	106330
310	27786	106232
311	27873	106135
312	27964	106050
313	28052	105956
314	28143	105873
315	28228	105768
316	28319	105686
317	28407	105590
318	28501	105517
319	28589	105423
320	28671	105307
321	28756	105202
322	28850	105130
323	28940	105041
324	29024	104934
325	29109	104828
326	29197	104734
327	29285	104643
328	29369	104535
329	29454	104430
330	29538	104322
331	29626	104227
332	29712	104126
333	29805	104050
334	29891	103952
335	29984	103876
336	30090	103843
337	30187	103779
338	30274	103684
339	30367	103606
340	30459	103528
341	30552	103450
342	30635	103340
343	30730	103269
344	30840	103248
345	30934	103174
346	31026	103095
347	31127	103041
348	31219	102962
349	31314	102890
350	31404	102801
351	31492	102709
352	31579	102609
353	31667	102515
354	31750	102405
355	31840	102320
356	31928	102225
357	32016	102132
358	32103	102032
359	32192	101944
360	32277	101840
361	32365	101745
362	32465	101689
363	32554	101599
364	32645	101515
365	32731	101415
366	32816	101311
367	32905	101219
368	32989	101114
369	33077	101019
370	33168	100934
371	33260	100853
372	33345	100753
373	33432	100656
374	33522	100567
375	33612	100479
376	33698	100379
377	33784	100281
378	33871	100183
379	33959	100090
380	34046	99995
381	34129	99885
382	34215	99788
383	34299	99683
384	34388	99591
385	34474	99493
386	34562	99401
387	34648	99300
